county,fips,year,population
Adams,8001,1900,NA
Alamosa,8003,1900,NA
Arapahoe,8005,1900,153017
Archuleta,8007,1900,2117
Baca,8009,1900,759
Bent,8011,1900,3049
Boulder,8013,1900,21544
Chaffee,8015,1900,7085
Cheyenne,8017,1900,501
Clear Creek,8019,1900,7082
Conejos,8021,1900,8794
Costilla,8023,1900,4632
Crowley,8025,1900,NA
Custer,8027,1900,2937
Delta,8029,1900,5487
Denver,8031,1900,NA
Dolores,8033,1900,1134
Douglas,8035,1900,3120
Eagle,8037,1900,3008
Elbert,8039,1900,3101
El Paso,8041,1900,31602
Fremont,8043,1900,15636
Garfield,8045,1900,5835
Gilpin,8047,1900,6690
Grand,8049,1900,741
Gunnison,8051,1900,5331
Hinsdale,8053,1900,1609
Huerfano,8055,1900,8395
Jackson,8057,1900,NA
Jefferson,8059,1900,9306
Kiowa,8061,1900,701
Kit Carson,8063,1900,1580
Lake,8065,1900,18054
La Plata,8067,1900,7016
Larimer,8069,1900,12168
Las Animas,8071,1900,21842
Lincoln,8073,1900,926
Logan,8075,1900,3292
Mesa,8077,1900,9267
Mineral,8079,1900,1913
Moffat,8081,1900,NA
Montezuma,8083,1900,3058
Montrose,8085,1900,4535
Morgan,8087,1900,3268
Otero,8089,1900,11522
Ouray,8091,1900,4731
Park,8093,1900,2998
Phillips,8095,1900,1583
Pitkin,8097,1900,7020
Prowers,8099,1900,3766
Pueblo,8101,1900,34448
Rio Blanco,8103,1900,1690
Rio Grande,8105,1900,4080
Routt,8107,1900,3661
Saguache,8109,1900,3853
San Juan,8111,1900,2342
San Miguel,8113,1900,5379
Sedgwick,8115,1900,971
Summit,8117,1900,2744
Teller,8119,1900,29002
Washington,8121,1900,1241
Weld,8123,1900,16808
Yuma,8125,1900,1729
Adams,8001,1910,8892
Alamosa,8003,1910,NA
Arapahoe,8005,1910,10263
Archuleta,8007,1910,3302
Baca,8009,1910,2516
Bent,8011,1910,5043
Boulder,8013,1910,30330
Chaffee,8015,1910,7622
Cheyenne,8017,1910,3687
Clear Creek,8019,1910,5001
Conejos,8021,1910,11285
Costilla,8023,1910,5498
Crowley,8025,1910,NA
Custer,8027,1910,1947
Delta,8029,1910,13688
Denver,8031,1910,213381
Dolores,8033,1910,642
Douglas,8035,1910,3192
Eagle,8037,1910,2985
Elbert,8039,1910,5331
El Paso,8041,1910,43321
Fremont,8043,1910,18181
Garfield,8045,1910,10144
Gilpin,8047,1910,4131
Grand,8049,1910,1862
Gunnison,8051,1910,5897
Hinsdale,8053,1910,646
Huerfano,8055,1910,13320
Jackson,8057,1910,1013
Jefferson,8059,1910,14231
Kiowa,8061,1910,2899
Kit Carson,8063,1910,7483
Lake,8065,1910,10600
La Plata,8067,1910,10812
Larimer,8069,1910,25270
Las Animas,8071,1910,33643
Lincoln,8073,1910,5917
Logan,8075,1910,9549
Mesa,8077,1910,22197
Mineral,8079,1910,1239
Moffat,8081,1910,NA
Montezuma,8083,1910,5029
Montrose,8085,1910,10291
Morgan,8087,1910,9577
Otero,8089,1910,20201
Ouray,8091,1910,3514
Park,8093,1910,2492
Phillips,8095,1910,3179
Pitkin,8097,1910,4566
