PO_Name,County,State,PM_Salary,Latitude,Longitude
Adamsville,Beaver,UT,10,38.2583031,-112.7938352
Alma,Weber,UT,12,41.2488333,-112.0782749
Alpine City,Utah,UT,27,40.4532834,-111.7779865
American Fork,Utah,UT,130,40.3752288,-111.7963201
Bellevue,Washington,UT,20,37.3408149,-113.2741158
Bingham Canyon,Salt Lake,UT,12,40.5416128,-112.1479974
Bloomington,Richland,UT,12,,
Brigham City,Box Elder,UT,400,41.5102129,-112.0155015
Bullion,Piute,UT,12,38.41,-112.339
Cedar City,Iron,UT,200,37.6766436,-113.0571708
Cedar Valley,Utah,UT,13,40.3271707,-112.1043852
Centerville,Davis,UT,34,40.9205768,-111.8784514
Central City,Salt Lake,UT,12,40.75,-111.866667
Chicken Creek,Juab,UT,49,39.5585686,-111.8618734
Clarkston,Cache,UT,12,41.9202033,-112.0499536
Clifton,Cache,UT,12,42.1875,-112.005833
Clover Valley,Washington,UT,12,40.917222,-111.398333
Coalville,Summit,UT,91,40.9157806,-111.3976966
Corinne,Box Elder,UT,1200,41.5471553,-112.1096707
Cove Creek,Millard,UT,12,38.8013558,-112.4374387
Croydon,Morgan,UT,75,41.0685562,-111.5138141
Deseret,Millard,UT,6,39.286901,-112.652727
Diamond,Juab,UT,12,39.881617,-112.0974446
Draper,Salt Lake,UT,39,40.3577286,-111.8621554
Duncans Retreat,Washington,UT,9,37.183333,-113.133333
Echo City,Summit,UT,12,40.9777244,-111.443255
Eden,Weber,UT,12,41.2991077,-111.8221614
Emmaville,Salt Lake,UT,12,40.617222,-111.820278
Ephraim,Sanpete,UT,500,39.3621842,-111.5854718
Eureka,Juab,UT,12,39.9541166,-112.1202235
Fair View,Sanpete,UT,39,39.626351,-111.4396325
Fairfield,Utah,UT,14,40.2621714,-112.0929961
Farmington,Davis,UT,61,40.9776,-111.889
Fillmore City,Millard,UT,140,38.967778,-112.330833
Forest City,Utah,UT,12,40.527778,-111.602778
Fort Hamblin,Washington,UT,12,37.53644,-113.60591
Fountain Green,Sanpete,UT,61,39.6277376,-111.6346434
Franklin,Cache,UT,40,42.016111,-111.803056
Goshen,Utah,UT,12,39.9510643,-111.8996604
Grafton,Washington,UT,12,37.167205,-113.0799425
Grantsville,Tooele,UT,95,40.5999425,-112.4643988
Gunnison,Sanpete,UT,51,39.1388502,-111.8188137
Harrisburg,Washington,UT,28,37.2058153,-113.3943953
Harrisville,Weber,UT,12,41.2813324,-111.9882754
Heber,Wasatch,UT,19,40.5068991,-111.4132388
Hebron,Washington,UT,12,37.5766416,-113.8194151
Herriman,Salt Lake,UT,10,40.5141147,-112.0329938
Holden,Millard,UT,22,39.0988507,-112.2707709
Hooper,Weber,UT,12,41.1652213,-112.1232763
Huntsville,Weber,UT,26,41.2599412,-111.7702156
Hyde Park,Cache,UT,24,41.7993741,-111.8207775
Hyrum,Cache,UT,42,41.6338218,-111.8541097
Iron City,Iron,UT,12,37.6,-113.450278
Johnson,Kane,UT,12,37.0866512,-112.368809
Kamas,Summit,UT,12,40.6446736,-111.2818497
Kanab,Kane,UT,12,37.0063747,-112.528536
Kanarraville,Iron,UT,34,37.5388676,-113.1841166
Kanosh,Millard,UT,32,38.8013558,-112.4374387
Kaysville,Davis,UT,70,41.0357,-111.9356
Kelton,Box Elder,UT,240,41.7460327,-113.1063779
Lake Point,Tooele,UT,12,40.6807774,-112.2630024
Laketown,Utah,UT,12,,
Leeds,Washington,UT,12,37.2385932,-113.3591167
Lehi City,Utah,UT,73,40.3916172,-111.8507662
Levan,Juab,UT,12,39.5585686,-111.8618734
Liberty,Richland,UT,4,41.3425,-111.865
Logan,Cache,UT,290,41.7343751,-111.8346658
Lynne,Weber,UT,27,41.223,-111.9738304
Manti,Sanpete,UT,100,39.2674618,-111.6365849
