PO_Name,County,State,PM_Salary,Latitude,Longitude
Arizona,Yuma,AZ,360,32.7253249,-114.624397
Ehrenburg,La Paz,AZ,140,33.6041914,-114.5252322
Florence,Pinal,AZ,12,33.0314508,-111.3873431
Fort Bowie,Cochise,AZ,12,32.149804,-109.4525624
Grant,Pinal,AZ,12,31.4031528,-110.91592
Hardyville,Mohave,AZ,180,35.0450009,-114.6216325
Kirkland Valley,Yavapai,AZ,12,34.4175,-112.712222
La Paz,La Paz,AZ,200,33.6791899,-114.426342
Maricopa,Pinal,AZ,220,33.0581063,-112.0476423
McDowell,Maricopa,AZ,12,33.6367105,-111.6745826
Mohave City,Mohave,AZ,80,35.0444453,-114.6230214
Overton,Maricopa,AZ,12,33.828611,-111.954722
Parker,La Paz,AZ,12,34.1500162,-114.2891177
Phoenix,Maricopa,AZ,12,33.4483771,-112.0740373
Prescott,Yavapai,AZ,540,34.5397095,-112.4691701
Providence Wells,Pima,AZ,12,32.1314666,-111.2778803
Sacaton,Pinal,AZ,12,33.0813926,-111.7442899
Saint Joseph,Navajo,AZ,44,34.9558574,-110.334014
Sanford,Pinal,AZ,12,33.0128395,-111.4420665
Skull Valley,Yavapai,AZ,12,34.501896,-112.6871074
Tubac,Santa Cruz,AZ,12,31.61259,-111.0459238
Tucson,Pima,AZ,620,32.2217429,-110.926479
Wickenburg,Maricopa,AZ,200,33.9610766,-112.7729381
Wilson,Yavapai,AZ,12,33.4543463,-112.0179746
Alameda,Alameda,CA,99,37.7652065,-122.2416355
Alvarado,Alameda,CA,70,37.5952005,-122.0768144
Brooklyn,Alameda,CA,280,37.788539,-122.249414
Centerville,Alameda,CA,200,37.5482697,-121.9885719
Decoto,Alameda,CA,12,37.5958333,-122.0191667
Dougherty's Station,Alameda,CA,45,37.7021521,-121.9357918
Haywards,Alameda,CA,80,37.6688205,-122.0807964
Livermore,Alameda,CA,12,37.6818745,-121.7680088
Midway,Alameda,CA,12,37.7146518,-121.5580031
Mission San Jose,Alameda,CA,30,37.5482697,-121.9885719
Mount Eden,Alameda,CA,100,37.6248959,-122.08967
Oakland,Alameda,CA,2100,37.8043722,-122.2708026
Pleasanton,Alameda,CA,94,37.6624312,-121.8746789
San Leandro,Alameda,CA,380,37.7181536,-122.1431661
San Lorenzo,Alameda,CA,140,37.6877406,-122.1217777
Sunolglen,Alameda,CA,12,37.5938226,-121.8880127
Warm Springs,Alameda,CA,13,37.5482697,-121.9885719
Washington Corners,Alameda,CA,12,37.532159,-121.9616266
Bullionae,Alpine,CA,55,38.6604619,-119.7262864
Markleeville,Alpine,CA,46,38.6949057,-119.7801768
Monitor,Alpine,CA,160,38.6651843,-119.6960075
Woodford's,Alpine,CA,35,38.76615,-119.80821
Amador City,Amador,CA,76,38.421022,-120.8249363
Buena Vista,Amador,CA,12,38.2943599,-120.9132726
Drytown,Amador,CA,100,38.4410213,-120.8543816
