Name,State,Department,Type,People,Latitude,Longitude
Prescott,AZ,Department of the Interior,General Land Office Receivers,1,34.5400242,-112.468503
Florence,AZ,Department of the Interior,General Land Office Receivers,1,33.0314508,-111.387343
San Francisco,CA,Department of the Interior,General Land Office Receivers,1,37.7749295,-122.419416
Marysville,CA,Department of the Interior,General Land Office Receivers,1,39.1457253,-121.591355
Humboldt,CA,Department of the Interior,General Land Office Receivers,1,40.7450055,-123.869509
Stockton,CA,Department of the Interior,General Land Office Receivers,1,37.9577016,-121.29078
Visalia,CA,Department of the Interior,General Land Office Receivers,1,36.3302284,-119.292059
Sacramento,CA,Department of the Interior,General Land Office Receivers,1,38.5815719,-121.4944
Los Angeles,CA,Department of the Interior,General Land Office Receivers,1,34.0522342,-118.243685
Shasta,CA,Department of the Interior,General Land Office Receivers,1,40.598119,-122.490757
Susanville,CA,Department of the Interior,General Land Office Receivers,1,40.4162842,-120.653006
Independence,CA,Department of the Interior,General Land Office Receivers,1,36.8027102,-118.200095
Denver,CO,Department of the Interior,General Land Office Receivers,1,39.7392358,-104.990251
Fair Play,CO,Department of the Interior,General Land Office Receivers,1,39.2247125,-106.001962
Central City,CO,Department of the Interior,General Land Office Receivers,1,39.8019322,-105.514164
Pueblo,CO,Department of the Interior,General Land Office Receivers,1,38.2544472,-104.609141
Del Norte,CO,Department of the Interior,General Land Office Receivers,1,37.6788919,-106.353368
Lake City,CO,Department of the Interior,General Land Office Receivers,1,38.0299967,-107.315334
Boise,ID,Department of the Interior,General Land Office Receivers,1,43.6187102,-116.214607
Lewiston,ID,Department of the Interior,General Land Office Receivers,1,46.39901,-117.004303
Topeka,KS,Department of the Interior,General Land Office Receivers,1,39.0558235,-95.689019
Salina,KS,Department of the Interior,General Land Office Receivers,1,38.8402805,-97.611424
Independence,KS,Department of the Interior,General Land Office Receivers,1,37.2242358,-95.708313
Wichita,KS,Department of the Interior,General Land Office Receivers,1,37.6871761,-97.330053
Kirwin,KS,Department of the Interior,General Land Office Receivers,1,39.6730662,-99.122311
Concordia,KS,Department of the Interior,General Land Office Receivers,1,39.5708354,-97.66254
Larned,KS,Department of the Interior,General Land Office Receivers,1,38.1805693,-99.098713
Hays City,KS,Department of the Interior,General Land Office Receivers,1,38.879444,-99.322222
Helena,MT,Department of the Interior,General Land Office Receivers,1,46.5883707,-112.024505
Bozeman,MT,Department of the Interior,General Land Office Receivers,1,45.6769979,-111.042934
Fargo,ND,Department of the Interior,General Land Office Receivers,1,46.8771863,-96.789803
